"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
198,49.49494949,46.46464646,49.49494949,51.51515152,50,49.49494949,47.97979798,50.50505051,49.49494949,50.50505051
199,49.24623116,46.23115578,49.24623116,51.75879397,50.25125628,49.24623116,47.73869347,50.25125628,49.24623116,50.25125628
200,49,46,49,52,50.5,49,47.5,50,49,50
201,49.25373134,46.26865672,49.25373134,51.74129353,50.24875622,49.25373134,47.76119403,50.24875622,49.25373134,50.24875622
202,49.00990099,46.53465347,49.00990099,51.98019802,50.4950495,49.00990099,47.52475248,50.4950495,49.00990099,50
203,48.76847291,46.79802956,48.76847291,51.72413793,50.73891626,48.76847291,47.29064039,50.73891626,48.76847291,49.75369458
204,49.01960784,47.05882353,49.01960784,51.96078431,50.98039216,49.01960784,47.54901961,50.98039216,49.01960784,50
205,49.26829268,46.82926829,49.26829268,52.19512195,50.73170732,49.26829268,47.80487805,50.73170732,49.26829268,50.24390244
206,49.02912621,47.08737864,49.02912621,52.42718447,50.97087379,49.02912621,47.57281553,50.97087379,49.02912621,50
207,49.27536232,46.85990338,49.27536232,52.17391304,50.72463768,49.27536232,47.82608696,50.72463768,49.27536232,49.75845411
208,49.51923077,47.11538462,49.51923077,52.40384615,50.96153846,49.51923077,48.07692308,50.96153846,49.51923077,50
209,49.28229665,46.88995215,49.28229665,52.15311005,50.71770335,49.28229665,47.84688995,50.71770335,49.28229665,49.76076555
210,49.52380952,47.14285714,49.52380952,52.38095238,50.95238095,49.52380952,48.0952381,50.95238095,49.52380952,50
211,49.28909953,46.91943128,49.28909953,52.13270142,51.18483412,49.28909953,47.86729858,51.18483412,49.28909953,49.76303318
212,49.52830189,47.16981132,49.52830189,51.88679245,50.94339623,49.52830189,48.11320755,50.94339623,49.52830189,50
213,49.76525822,47.41784038,49.76525822,51.64319249,50.70422535,49.76525822,48.35680751,50.70422535,49.76525822,50.23474178
214,50,47.6635514,50,51.86915888,50.93457944,50,48.59813084,50.93457944,50,50.46728972
215,50.23255814,47.90697674,50.23255814,51.62790698,51.1627907,50.23255814,48.8372093,50.69767442,50.23255814,50.69767442
216,50.46296296,48.14814815,50.46296296,51.85185185,51.38888889,50.46296296,49.07407407,50.92592593,50.46296296,50.92592593
217,50.69124424,48.38709677,50.69124424,51.61290323,51.61290323,50.69124424,49.30875576,50.69124424,50.69124424,51.15207373
218,50.91743119,48.62385321,50.91743119,51.83486239,51.83486239,50.91743119,49.5412844,50.91743119,50.91743119,51.37614679
219,51.14155251,48.85844749,51.14155251,52.05479452,52.05479452,51.14155251,49.7716895,51.14155251,51.14155251,51.59817352
220,51.36363636,49.09090909,51.36363636,51.81818182,51.81818182,51.36363636,50,50.90909091,51.36363636,51.36363636
221,51.58371041,49.32126697,51.58371041,52.0361991,52.0361991,51.58371041,50.22624434,51.13122172,51.58371041,51.58371041
222,51.8018018,49.54954955,51.8018018,51.8018018,51.8018018,51.8018018,50.45045045,50.9009009,51.8018018,51.8018018
223,52.01793722,49.77578475,52.01793722,52.01793722,52.01793722,52.01793722,50.67264574,51.12107623,52.01793722,52.01793722
224,51.78571429,49.55357143,51.78571429,51.78571429,51.78571429,51.78571429,50.44642857,50.89285714,51.78571429,51.78571429
225,52,49.77777778,52,51.55555556,51.55555556,51.55555556,50.66666667,50.66666667,52,52
226,51.7699115,49.55752212,51.7699115,51.32743363,51.32743363,51.32743363,50.44247788,50.44247788,51.7699115,51.7699115
